LECROYWR640Zi,60927,Waveform
Segments,10,SegmentSize,200002
Segment,TrigTime,TimeSinceSegment1
#1,09-Aug-2019 16:29:48,0                 
#2,09-Aug-2019 16:29:48,5.701447e-006     
#3,09-Aug-2019 16:29:48,1.129295e-005     
#4,09-Aug-2019 16:29:48,1.703487e-005     
#5,09-Aug-2019 16:29:48,2.266119e-005     
#6,09-Aug-2019 16:29:48,2.866887e-005     
#7,09-Aug-2019 16:29:48,3.442581e-005     
#8,09-Aug-2019 16:29:48,4.167359e-005     
#9,09-Aug-2019 16:29:48,4.747351e-005     
#10,09-Aug-2019 16:29:48,5.318782e-005    
Time,Ampl
-7.06882066e-007,-5.48177e-005
-7.06857066e-007,-7.10937e-005
-7.06832066e-007,-8.28939e-005
-7.06807066e-007,-8.73698e-005
-7.06782066e-007,-8.33008e-005
-7.06757066e-007,-7.06868e-005
-7.06732066e-007,-4.99349e-005
-7.06707066e-007,-2.34863e-005
-7.06682066e-007,5.40365e-006
-7.06657066e-007,3.38867e-005
-7.06632066e-007,5.7487e-005
-7.06607066e-007,7.33561e-005
-7.06582066e-007,7.86458e-005
-7.06557066e-007,7.25423e-005
-7.06532066e-007,5.46387e-005
-7.06507066e-007,2.81901e-005
-7.06482066e-007,-3.54818e-006
-7.06457066e-007,-3.40658e-005
-7.06432066e-007,-5.64453e-005
-7.06407066e-007,-6.49902e-005
-7.06382066e-007,-5.60384e-005
-7.06357066e-007,-2.91829e-005
-7.06332066e-007,1.19141e-005
-7.06307066e-007,6.11491e-005
-7.06282066e-007,0.000111198
-7.06257066e-007,0.000156771
-7.06232066e-007,0.000194613
-7.06207066e-007,0.000224723
-7.06182066e-007,0.00024751
-7.06157066e-007,0.000265007
-7.06132066e-007,0.000278027
-7.06107066e-007,0.000285758
-7.06082066e-007,0.000287793
-7.06057066e-007,0.000281689
-7.06032066e-007,0.000266227
-7.06007066e-007,0.000241406
-7.05982066e-007,0.00020804
-7.05957066e-007,0.000168978
-7.05932066e-007,0.000127067
-7.05907066e-007,8.47493e-005
-7.05882066e-007,4.36523e-005
-7.05857066e-007,4.18294e-006
-7.05832066e-007,-3.20312e-005
-7.05807066e-007,-6.41764e-005
-7.05782066e-007,-9.02181e-005
-7.05757066e-007,-0.000108122
-7.05732066e-007,-0.000116667
-7.05707066e-007,-0.000115446
-7.05682066e-007,-0.000106901
-7.05657066e-007,-9.26595e-005
-7.05632066e-007,-7.67904e-005
-7.05607066e-007,-6.29557e-005
-7.05582066e-007,-5.44108e-005
-7.05557066e-007,-5.11556e-005
-7.05532066e-007,-5.07487e-005
-7.05507066e-007,-4.79004e-005
-7.05482066e-007,-3.44727e-005
-7.05457066e-007,-3.95508e-006
-7.05432066e-007,4.69076e-005
-7.05407066e-007,0.000116488
-7.05382066e-007,0.000196647
-7.05357066e-007,0.000275586
-7.05332066e-007,0.000339876
-7.05307066e-007,0.00037609
-7.05282066e-007,0.000376497
-7.05257066e-007,0.000339876
-7.05232066e-007,0.000271517
-7.05207066e-007,0.000181592
-7.05182066e-007,8.27148e-005
-7.05157066e-007,-1.16862e-005
-7.05132066e-007,-9.26595e-005
-7.05107066e-007,-0.000154508
-7.05082066e-007,-0.000196826
-7.05057066e-007,-0.000221647
-7.05032066e-007,-0.000233447
-7.05007066e-007,-0.000234668
-7.04982066e-007,-0.000227344
-7.04957066e-007,-0.000210254
-7.04932066e-007,-0.000181364
-7.04907066e-007,-0.00013986
-7.04882066e-007,-8.77767e-005
-7.04857066e-007,-3.04036e-005
-7.04832066e-007,2.57487e-005
-7.04807066e-007,7.09147e-005
-7.04782066e-007,9.81771e-005
-7.04757066e-007,0.000102653
-7.04732066e-007,8.27148e-005
-7.04707066e-007,4.16178e-005
-7.04682066e-007,-1.45345e-005
-7.04657066e-007,-7.80111e-005
-7.04632066e-007,-0.00013986
-7.04607066e-007,-0.000193571
-7.04582066e-007,-0.000233447
-7.04557066e-007,-0.000257454
-7.04532066e-007,-0.00026722
-7.04507066e-007,-0.000266406
-7.04482066e-007,-0.000260303
-7.04457066e-007,-0.000255013
-7.04432066e-007,-0.000254606
-7.04407066e-007,-0.00026193
-7.04382066e-007,-0.000277393
